Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Petal.Area,Aspect.Ratio,Skinny.Petal
4.6,3.2,1.4,0.2,setosa,0.28,7,TRUE
5.3,3.7,1.5,0.2,setosa,0.3,7.5,TRUE
5,3.3,1.4,0.2,setosa,0.28,7,TRUE
7,3.2,4.7,1.4,versicolor,6.58,3.35714285714286,TRUE
6.4,3.2,4.5,1.5,versicolor,6.75,3,FALSE
6.9,3.1,4.9,1.5,versicolor,7.35,3.26666666666667,TRUE
5.5,2.3,4,1.3,versicolor,5.2,3.07692307692308,FALSE
6.5,2.8,4.6,1.5,versicolor,6.9,3.06666666666667,FALSE
5.7,2.8,4.5,1.3,versicolor,5.85,3.46153846153846,TRUE
6.3,3.3,4.7,1.6,versicolor,7.52,2.9375,FALSE
4.9,2.4,3.3,1,versicolor,3.3,3.3,TRUE
6.6,2.9,4.6,1.3,versicolor,5.98,3.53846153846154,TRUE
5.2,2.7,3.9,1.4,versicolor,5.46,2.78571428571429,FALSE
5,2,3.5,1,versicolor,3.5,3.5,TRUE
5.9,3,4.2,1.5,versicolor,6.3,2.8,FALSE
6,2.2,4,1,versicolor,4,4,TRUE
6.1,2.9,4.7,1.4,versicolor,6.58,3.35714285714286,TRUE
5.6,2.9,3.6,1.3,versicolor,4.68,2.76923076923077,FALSE
6.7,3.1,4.4,1.4,versicolor,6.16,3.14285714285714,FALSE
5.6,3,4.5,1.5,versicolor,6.75,3,FALSE
5.8,2.7,4.1,1,versicolor,4.1,4.1,TRUE
6.2,2.2,4.5,1.5,versicolor,6.75,3,FALSE
5.6,2.5,3.9,1.1,versicolor,4.29,3.54545454545454,TRUE
5.9,3.2,4.8,1.8,versicolor,8.64,2.66666666666667,FALSE
6.1,2.8,4,1.3,versicolor,5.2,3.07692307692308,FALSE
6.3,2.5,4.9,1.5,versicolor,7.35,3.26666666666667,TRUE
6.1,2.8,4.7,1.2,versicolor,5.64,3.91666666666667,TRUE
6.4,2.9,4.3,1.3,versicolor,5.59,3.30769230769231,TRUE
6.6,3,4.4,1.4,versicolor,6.16,3.14285714285714,FALSE
6.8,2.8,4.8,1.4,versicolor,6.72,3.42857142857143,TRUE
6.7,3,5,1.7,versicolor,8.5,2.94117647058824,FALSE
6,2.9,4.5,1.5,versicolor,6.75,3,FALSE
5.7,2.6,3.5,1,versicolor,3.5,3.5,TRUE
5.5,2.4,3.8,1.1,versicolor,4.18,3.45454545454545,TRUE
5.5,2.4,3.7,1,versicolor,3.7,3.7,TRUE
5.8,2.7,3.9,1.2,versicolor,4.68,3.25,TRUE
6,2.7,5.1,1.6,versicolor,8.16,3.1875,FALSE
5.4,3,4.5,1.5,versicolor,6.75,3,FALSE
6,3.4,4.5,1.6,versicolor,7.2,2.8125,FALSE
6.7,3.1,4.7,1.5,versicolor,7.05,3.13333333333333,FALSE
6.3,2.3,4.4,1.3,versicolor,5.72,3.38461538461538,TRUE
5.6,3,4.1,1.3,versicolor,5.33,3.15384615384615,FALSE
5.5,2.5,4,1.3,versicolor,5.2,3.07692307692308,FALSE
5.5,2.6,4.4,1.2,versicolor,5.28,3.66666666666667,TRUE
6.1,3,4.6,1.4,versicolor,6.44,3.28571428571429,TRUE
5.8,2.6,4,1.2,versicolor,4.8,3.33333333333333,TRUE
5,2.3,3.3,1,versicolor,3.3,3.3,TRUE
5.6,2.7,4.2,1.3,versicolor,5.46,3.23076923076923,FALSE
5.7,3,4.2,1.2,versicolor,5.04,3.5,TRUE
5.7,2.9,4.2,1.3,versicolor,5.46,3.23076923076923,FALSE
6.2,2.9,4.3,1.3,versicolor,5.59,3.30769230769231,TRUE
5.1,2.5,3,1.1,versicolor,3.3,2.72727272727273,FALSE
5.7,2.8,4.1,1.3,versicolor,5.33,3.15384615384615,FALSE
6.3,3.3,6,2.5,virginica,15,2.4,FALSE
5.8,2.7,5.1,1.9,virginica,9.69,2.68421052631579,FALSE
7.1,3,5.9,2.1,virginica,12.39,2.80952380952381,TRUE
6.3,2.9,5.6,1.8,virginica,10.08,3.11111111111111,TRUE
6.5,3,5.8,2.2,virginica,12.76,2.63636363636364,FALSE
7.6,3,6.6,2.1,virginica,13.86,3.14285714285714,TRUE
4.9,2.5,4.5,1.7,virginica,7.65,2.64705882352941,FALSE
7.3,2.9,6.3,1.8,virginica,11.34,3.5,TRUE
6.7,2.5,5.8,1.8,virginica,10.44,3.22222222222222,TRUE
7.2,3.6,6.1,2.5,virginica,15.25,2.44,FALSE
6.5,3.2,5.1,2,virginica,10.2,2.55,FALSE
6.4,2.7,5.3,1.9,virginica,10.07,2.78947368421053,TRUE
6.8,3,5.5,2.1,virginica,11.55,2.61904761904762,FALSE
5.7,2.5,5,2,virginica,10,2.5,FALSE
5.8,2.8,5.1,2.4,virginica,12.24,2.125,FALSE
6.4,3.2,5.3,2.3,virginica,12.19,2.30434782608696,FALSE
6.5,3,5.5,1.8,virginica,9.9,3.05555555555556,TRUE
7.7,3.8,6.7,2.2,virginica,14.74,3.04545454545455,TRUE
7.7,2.6,6.9,2.3,virginica,15.87,3,TRUE
6,2.2,5,1.5,virginica,7.5,3.33333333333333,TRUE
6.9,3.2,5.7,2.3,virginica,13.11,2.47826086956522,FALSE
5.6,2.8,4.9,2,virginica,9.8,2.45,FALSE
7.7,2.8,6.7,2,virginica,13.4,3.35,TRUE
6.3,2.7,4.9,1.8,virginica,8.82,2.72222222222222,FALSE
6.7,3.3,5.7,2.1,virginica,11.97,2.71428571428571,FALSE
7.2,3.2,6,1.8,virginica,10.8,3.33333333333333,TRUE
6.2,2.8,4.8,1.8,virginica,8.64,2.66666666666667,FALSE
6.1,3,4.9,1.8,virginica,8.82,2.72222222222222,FALSE
6.4,2.8,5.6,2.1,virginica,11.76,2.66666666666667,FALSE
7.2,3,5.8,1.6,virginica,9.28,3.625,TRUE
7.4,2.8,6.1,1.9,virginica,11.59,3.21052631578947,TRUE
7.9,3.8,6.4,2,virginica,12.8,3.2,TRUE
6.4,2.8,5.6,2.2,virginica,12.32,2.54545454545454,FALSE
6.3,2.8,5.1,1.5,virginica,7.65,3.4,TRUE
6.1,2.6,5.6,1.4,virginica,7.84,4,TRUE
7.7,3,6.1,2.3,virginica,14.03,2.65217391304348,FALSE
6.3,3.4,5.6,2.4,virginica,13.44,2.33333333333333,FALSE
6.4,3.1,5.5,1.8,virginica,9.9,3.05555555555556,TRUE
6,3,4.8,1.8,virginica,8.64,2.66666666666667,FALSE
6.9,3.1,5.4,2.1,virginica,11.34,2.57142857142857,FALSE
6.7,3.1,5.6,2.4,virginica,13.44,2.33333333333333,FALSE
6.9,3.1,5.1,2.3,virginica,11.73,2.21739130434783,FALSE
5.8,2.7,5.1,1.9,virginica,9.69,2.68421052631579,FALSE
6.8,3.2,5.9,2.3,virginica,13.57,2.56521739130435,FALSE
6.7,3.3,5.7,2.5,virginica,14.25,2.28,FALSE
6.7,3,5.2,2.3,virginica,11.96,2.26086956521739,FALSE
6.3,2.5,5,1.9,virginica,9.5,2.63157894736842,FALSE
6.5,3,5.2,2,virginica,10.4,2.6,FALSE
6.2,3.4,5.4,2.3,virginica,12.42,2.34782608695652,FALSE
5.9,3,5.1,1.8,virginica,9.18,2.83333333333333,TRUE
